survey_title,survey_description,survey_category_id,survey_status_id,priority,page_title,page_description,require_questions,question_title,is_required,question_type_id,color,align,font,choices
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 1: General Experience","First page of the customer feedback survey.",true,"How did you first hear about our service?",true,7,#5733FF,left,Arial,"Online Search|Social Media|Friend or Colleague|Advertisement|Other"
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 1: General Experience","First page of the customer feedback survey.",true,"What is the primary reason you chose us over a competitor?",true,1,#33FF57,left,Verdana,"Better Price|Better Features|Customer Service|Reputation"
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 1: General Experience","First page of the customer feedback survey.",true,"Which aspects of our service have you used? (Select all that apply)",false,2,#FF5733,left,Consolas,"Product Sales|Customer Support|Online Resources|Consulting"
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 1: General Experience","First page of the customer feedback survey.",true,"Please rate your overall satisfaction.",true,4,#FFC300,center,Georgia,
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 2: Detailed Comments","Second page of the customer feedback survey.",false,"On a scale of 1-10, how likely are you to recommend us?",true,5,#33AAFF,center,Tahoma,
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 2: Detailed Comments","Second page of the customer feedback survey.",false,"What is one word you would use to describe our service?",false,3,#DAF7A6,left,Helvetica,
Customer Feedback,"A survey to gather feedback from our valued customers.",1,1,5,"Part 2: Detailed Comments","Second page of the customer feedback survey.",false,"Do you have any other suggestions for how we could improve?",false,6,#FF33AA,left,"Times New Roman",
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 1: Your Role & Team","First page of the employee satisfaction survey.",true,"What is your current job level?",true,7,#5733FF,left,Arial,"Junior|Mid-Level|Senior|Lead|Manager"
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 1: Your Role & Team","First page of the employee satisfaction survey.",true,"Which of the following would most improve your daily work?",true,1,#33FF57,left,Verdana,"More flexible hours|Better equipment|Clearer goals|More training opportunities"
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 1: Your Role & Team","First page of the employee satisfaction survey.",true,"Which company benefits do you currently use? (Select all that apply)",false,2,#FF5733,left,Consolas,"Health Insurance|Retirement Plan|Paid Time Off|Wellness Program"
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 1: Your Role & Team","First page of the employee satisfaction survey.",true,"Please rate your satisfaction with your immediate supervisor.",true,4,#FFC300,center,Georgia,
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 2: Company Culture","Second page of the employee satisfaction survey.",false,"On a scale of 1-10, how would you rate your work-life balance?",true,5,#33AAFF,center,Tahoma,
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 2: Company Culture","Second page of the employee satisfaction survey.",false,"What is your favorite part about working here?",false,3,#DAF7A6,left,Helvetica,
Employee Satisfaction,"Anonymously assessing employee satisfaction and workplace culture.",2,1,4,"Part 2: Company Culture","Second page of the employee satisfaction survey.",false,"Do you have any suggestions for improving company culture?",false,6,#FF33AA,left,"Times New Roman",
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 1: Usage & Features","First page of the product feedback survey.",true,"How often do you use our product?",true,7,#5733FF,left,Arial,"Daily|Weekly|Monthly|Rarely"
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 1: Usage & Features","First page of the product feedback survey.",true,"Which problem does our product solve best for you?",true,1,#33FF57,left,Verdana,"Saving Time|Saving Money|Improving Workflow|Entertainment"
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 1: Usage & Features","First page of the product feedback survey.",true,"Which features do you use most frequently? (Select all that apply)",false,2,#FF5733,left,Consolas,"Dashboard|Reporting|Integration|User Management"
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 1: Usage & Features","First page of the product feedback survey.",true,"Please rate the product's ease of use.",true,4,#FFC300,center,Georgia,
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 2: Satisfaction & Suggestions","Second page of the product feedback survey.",false,"On a scale of 1-10, how would you rate the value for money?",true,5,#33AAFF,center,Tahoma,
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 2: Satisfaction & Suggestions","Second page of the product feedback survey.",false,"What is the one feature we should add next?",false,3,#DAF7A6,left,Helvetica,
Product Feedback,"Collecting feedback on our latest product release.",3,1,3,"Part 2: Satisfaction & Suggestions","Second page of the product feedback survey.",false,"Please describe any bugs or issues you have encountered.",false,6,#FF33AA,left,"Times New Roman",
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 1: Demographics & Habits","First page of the market research survey.",true,"What is your approximate age bracket?",true,7,#5733FF,left,Arial,"Under 18|18-24|25-34|35-44|45-54|55+"
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 1: Demographics & Habits","First page of the market research survey.",true,"Where do you typically purchase products like ours?",true,1,#33FF57,left,Verdana,"Online|In-Store|Direct from Manufacturer"
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 1: Demographics & Habits","First page of the market research survey.",true,"What factors influence your purchasing decision? (Select all that apply)",false,2,#FF5733,left,Consolas,"Price|Quality|Brand Reputation|Reviews|Convenience"
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 1: Demographics & Habits","First page of the market research survey.",true,"Please rate the importance of brand reputation.",true,4,#FFC300,center,Georgia,
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 2: Opinions & Outlook","Second page of the market research survey.",false,"On a scale of 1-10, how innovative do you find this product category?",true,5,#33AAFF,center,Tahoma,
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 2: Opinions & Outlook","Second page of the market research survey.",false,"Which brand do you consider the leader in this market?",false,3,#DAF7A6,left,Helvetica,
Market Research,"Understanding consumer habits and market trends.",4,1,2,"Part 2: Opinions & Outlook","Second page of the market research survey.",false,"What are your thoughts on the future of this market?",false,6,#FF33AA,left,"Times New Roman",
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 1: Navigation & Design","First page of the website feedback survey.",true,"Which device are you using to browse our website?",true,7,#5733FF,left,Arial,"Desktop|Tablet|Mobile Phone"
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 1: Navigation & Design","First page of the website feedback survey.",true,"What was the primary goal of your visit today?",true,1,#33FF57,left,Verdana,"Find Information|Make a Purchase|Contact Support|Browse Products"
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 1: Navigation & Design","First page of the website feedback survey.",true,"What tasks were you trying to accomplish? (Select all that apply)",false,2,#FF5733,left,Consolas,"Comparing Products|Reading Articles|Checking my Account|Finding Contact Info"
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 1: Navigation & Design","First page of the website feedback survey.",true,"Please rate the visual design of the website.",true,4,#FFC300,center,Georgia,
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 2: Performance & Content","Second page of the website feedback survey.",false,"On a scale of 1-10, please rate the website's loading speed.",true,5,#33AAFF,center,Tahoma,
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 2: Performance & Content","Second page of the website feedback survey.",false,"Was there any information you could not find?",false,3,#DAF7A6,left,Helvetica,
Website Feedback,"Gathering feedback on website usability and design.",5,1,1,"Part 2: Performance & Content","Second page of the website feedback survey.",false,"Please provide any other comments on your experience.",false,6,#FF33AA,left,"Times New Roman",
